freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.343e+02,9.187e+01,3.762e+01,3.638e+02
1.5,2.246e+02,4.849e+02,8.474e+01,7.942e+02
3.1,1.579e+02,5.417e+02,8.120e+01,7.808e+02
4.6,5.420e+02,4.726e+02,8.201e+01,1.097e+03
6.1,1.613e+03,5.357e+02,8.047e+01,2.229e+03
7.7,2.001e+03,5.537e+02,8.511e+01,2.640e+03
9.2,2.606e+03,6.160e+02,8.447e+01,3.307e+03
10.7,3.385e+03,5.918e+02,8.514e+01,4.062e+03
12.3,4.336e+03,5.613e+02,8.807e+01,4.985e+03
13.8,5.864e+03,6.404e+02,8.232e+01,6.586e+03
15.3,7.049e+03,7.653e+02,8.156e+01,7.896e+03
16.9,7.989e+03,7.497e+02,8.272e+01,8.821e+03
18.4,9.612e+03,6.779e+02,9.145e+01,1.038e+04
19.9,1.127e+04,6.182e+02,1.021e+02,1.199e+04
21.5,1.333e+04,5.607e+02,1.065e+02,1.400e+04
23.0,1.544e+04,5.474e+02,1.051e+02,1.609e+04
24.5,1.778e+04,5.731e+02,1.009e+02,1.846e+04
26.1,2.067e+04,6.765e+02,9.491e+01,2.144e+04
27.6,2.426e+04,6.342e+02,9.141e+01,2.498e+04
29.1,2.793e+04,6.010e+02,8.830e+01,2.862e+04
30.7,3.349e+04,6.243e+02,9.198e+01,3.420e+04
32.2,3.990e+04,5.994e+02,1.164e+02,4.062e+04
33.7,4.530e+04,6.214e+02,1.421e+02,4.606e+04
35.3,5.337e+04,6.805e+02,2.121e+02,5.426e+04
36.8,6.256e+04,9.340e+02,3.394e+02,6.383e+04
38.3,7.459e+04,1.761e+03,6.093e+02,7.696e+04
39.9,8.359e+04,3.438e+03,6.495e+02,8.767e+04
41.4,8.620e+04,3.631e+03,8.217e+02,9.065e+04
42.9,9.901e+04,1.876e+03,1.399e+03,1.023e+05
44.5,1.219e+05,1.083e+03,2.188e+03,1.252e+05
46.0,1.483e+05,1.534e+03,2.825e+03,1.527e+05
47.5,1.726e+05,2.550e+03,2.930e+03,1.781e+05
49.1,1.869e+05,3.314e+03,3.226e+03,1.935e+05
50.6,1.922e+05,3.250e+03,3.757e+03,1.992e+05
52.1,2.209e+05,3.582e+03,5.069e+03,2.295e+05
53.7,2.791e+05,4.936e+03,8.136e+03,2.922e+05
55.2,3.731e+05,7.077e+03,1.426e+04,3.945e+05
56.7,4.491e+05,9.135e+03,2.031e+04,4.785e+05
58.3,4.692e+05,1.066e+04,2.359e+04,5.035e+05
59.8,4.346e+05,1.030e+04,2.461e+04,4.695e+05
61.4,3.910e+05,8.788e+03,2.803e+04,4.278e+05
