freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.489e+00,2.887e+02,8.672e+01,3.839e+02
1.5,2.574e+01,1.828e+02,9.953e+01,3.080e+02
3.1,2.546e+01,3.840e+01,6.598e+01,1.298e+02
4.6,2.582e+01,3.702e+02,6.544e+01,4.615e+02
6.1,4.507e+01,1.474e+03,6.581e+01,1.585e+03
7.7,1.054e+02,2.601e+03,8.796e+01,2.794e+03
9.2,1.180e+02,2.869e+03,1.355e+02,3.123e+03
10.7,1.067e+02,2.796e+03,1.432e+02,3.046e+03
12.3,6.734e+01,3.590e+03,1.473e+02,3.805e+03
13.8,6.142e+01,5.039e+03,2.051e+02,5.306e+03
15.3,8.370e+01,6.978e+03,2.496e+02,7.312e+03
16.9,8.934e+01,9.413e+03,2.382e+02,9.740e+03
18.4,1.236e+02,1.228e+04,3.191e+02,1.273e+04
19.9,1.713e+02,1.531e+04,5.634e+02,1.605e+04
21.5,2.066e+02,1.794e+04,8.441e+02,1.899e+04
23.0,2.879e+02,2.174e+04,9.687e+02,2.299e+04
24.5,3.626e+02,2.743e+04,1.066e+03,2.886e+04
26.1,4.145e+02,3.566e+04,1.173e+03,3.725e+04
27.6,4.580e+02,4.711e+04,1.410e+03,4.898e+04
29.1,4.952e+02,6.338e+04,2.369e+03,6.625e+04
30.7,6.368e+02,9.560e+04,5.046e+03,1.013e+05
32.2,1.041e+03,1.459e+05,1.080e+04,1.578e+05
33.7,1.852e+03,1.903e+05,1.749e+04,2.097e+05
35.3,1.644e+03,2.413e+05,2.538e+04,2.684e+05
36.8,5.473e+02,2.652e+05,2.809e+04,2.938e+05
38.3,6.840e+02,2.929e+05,2.422e+04,3.178e+05
39.9,1.224e+03,3.742e+05,3.244e+04,4.079e+05
41.4,1.608e+03,4.350e+05,4.172e+04,4.783e+05
42.9,3.012e+03,4.734e+05,4.623e+04,5.226e+05
44.5,4.435e+03,4.593e+05,5.829e+04,5.221e+05
46.0,5.262e+03,4.009e+05,6.907e+04,4.752e+05
47.5,5.717e+03,3.374e+05,7.093e+04,4.140e+05
49.0,5.458e+03,2.770e+05,7.011e+04,3.526e+05
50.6,5.051e+03,2.231e+05,6.756e+04,2.958e+05
52.1,4.519e+03,1.732e+05,6.436e+04,2.421e+05
53.6,4.217e+03,1.345e+05,6.339e+04,2.021e+05
55.2,4.496e+03,1.143e+05,6.965e+04,1.884e+05
56.7,4.767e+03,1.007e+05,8.212e+04,1.876e+05
58.2,5.224e+03,8.834e+04,9.640e+04,1.900e+05
59.8,6.276e+03,7.767e+04,1.159e+05,1.999e+05
61.3,5.678e+03,6.628e+04,1.411e+05,2.130e+05
62.8,5.631e+03,5.789e+04,1.667e+05,2.302e+05
64.4,7.421e+03,5.590e+04,1.923e+05,2.557e+05
65.9,9.072e+03,5.568e+04,2.028e+05,2.676e+05
67.4,9.639e+03,5.339e+04,1.916e+05,2.546e+05
69.0,9.569e+03,4.864e+04,1.734e+05,2.316e+05
70.5,9.116e+03,4.225e+04,1.600e+05,2.114e+05
72.0,7.910e+03,3.519e+04,1.422e+05,1.853e+05
73.6,5.988e+03,2.876e+04,1.175e+05,1.523e+05
75.1,4.790e+03,2.469e+04,1.016e+05,1.311e+05
76.6,4.119e+03,2.240e+04,9.084e+04,1.174e+05
78.2,2.624e+03,2.229e+04,6.439e+04,8.931e+04
79.7,2.068e+03,2.239e+04,4.446e+04,6.892e+04
81.2,2.132e+03,2.187e+04,3.277e+04,5.677e+04
82.8,2.497e+03,2.096e+04,2.526e+04,4.871e+04
84.3,3.457e+03,1.937e+04,2.327e+04,4.610e+04
85.8,5.286e+03,1.687e+04,2.701e+04,4.917e+04
87.4,7.004e+03,1.296e+04,3.886e+04,5.882e+04
88.9,7.341e+03,9.980e+03,5.064e+04,6.796e+04
90.4,6.418e+03,9.369e+03,5.306e+04,6.885e+04
92.0,5.066e+03,1.006e+04,4.914e+04,6.427e+04
93.5,3.950e+03,1.054e+04,4.371e+04,5.820e+04
95.0,3.133e+03,1.037e+04,3.719e+04,5.069e+04
96.6,2.545e+03,9.970e+03,3.171e+04,4.423e+04
98.1,2.112e+03,9.461e+03,2.643e+04,3.801e+04
99.6,1.752e+03,8.845e+03,2.227e+04,3.287e+04
101.2,1.051e+03,8.414e+03,1.934e+04,2.881e+04
102.7,7.412e+02,7.944e+03,1.721e+04,2.589e+04
104.2,5.246e+02,7.507e+03,1.568e+04,2.372e+04
105.8,3.423e+02,7.095e+03,1.428e+04,2.172e+04
107.3,2.475e+02,6.731e+03,1.287e+04,1.985e+04
108.8,2.354e+02,6.402e+03,1.087e+04,1.751e+04
110.4,2.000e+02,6.001e+03,8.259e+03,1.446e+04
111.9,1.852e+02,5.667e+03,8.858e+03,1.471e+04
113.4,1.709e+02,5.365e+03,8.945e+03,1.448e+04
115.0,1.479e+02,5.002e+03,8.263e+03,1.341e+04
116.5,1.370e+02,4.431e+03,7.111e+03,1.168e+04
118.0,1.468e+02,3.816e+03,5.718e+03,9.680e+03
119.6,1.904e+02,3.308e+03,4.378e+03,7.876e+03
121.1,2.360e+02,2.745e+03,3.047e+03,6.028e+03
122.6,2.512e+02,2.468e+03,2.422e+03,5.141e+03
124.2,2.791e+02,2.451e+03,2.412e+03,5.142e+03
125.7,3.274e+02,2.501e+03,2.398e+03,5.226e+03
127.2,3.597e+02,2.549e+03,2.326e+03,5.234e+03
128.8,3.616e+02,2.540e+03,2.316e+03,5.217e+03
130.3,3.636e+02,2.526e+03,2.342e+03,5.231e+03
131.8,3.548e+02,2.257e+03,2.113e+03,4.725e+03
133.4,3.606e+02,9.877e+02,8.711e+02,2.219e+03
134.9,3.495e+02,3.026e+02,1.900e+02,8.420e+02
136.4,3.072e+02,2.296e+02,1.640e+02,7.008e+02
137.9,2.715e+02,1.805e+02,1.916e+02,6.436e+02
139.5,2.420e+02,1.490e+02,1.965e+02,5.875e+02
141.0,2.151e+02,1.215e+02,1.792e+02,5.157e+02
142.5,1.853e+02,1.031e+02,1.818e+02,4.703e+02
144.1,1.586e+02,9.163e+01,1.823e+02,4.325e+02
145.6,1.368e+02,8.668e+01,1.639e+02,3.873e+02
147.1,1.059e+02,7.766e+01,1.605e+02,3.441e+02
148.7,8.332e+01,7.066e+01,1.504e+02,3.044e+02
150.2,6.847e+01,6.810e+01,1.322e+02,2.687e+02
151.7,6.051e+01,6.484e+01,1.245e+02,2.499e+02
153.3,5.639e+01,6.772e+01,1.178e+02,2.420e+02
154.8,5.224e+01,7.194e+01,1.077e+02,2.319e+02
156.3,4.464e+01,7.718e+01,1.055e+02,2.273e+02
157.9,4.271e+01,9.589e+01,1.101e+02,2.487e+02
159.4,4.319e+01,1.371e+02,1.096e+02,2.898e+02
160.9,4.706e+01,1.704e+02,1.074e+02,3.249e+02
162.5,4.517e+01,1.772e+02,1.060e+02,3.283e+02
164.0,4.983e+01,1.861e+02,1.068e+02,3.428e+02
165.5,6.408e+01,1.936e+02,1.015e+02,3.592e+02
167.1,1.010e+02,1.837e+02,9.172e+01,3.764e+02
168.6,2.092e+02,1.710e+02,1.029e+02,4.830e+02
170.1,3.034e+02,1.538e+02,1.188e+02,5.760e+02
171.7,3.640e+02,1.431e+02,1.205e+02,6.275e+02
173.2,3.966e+02,1.327e+02,1.220e+02,6.513e+02
174.7,3.807e+02,1.249e+02,1.287e+02,6.343e+02
176.3,3.375e+02,1.138e+02,1.255e+02,5.768e+02
177.8,3.000e+02,9.841e+01,1.192e+02,5.177e+02
179.3,2.804e+02,9.632e+01,1.314e+02,5.081e+02
180.9,2.498e+02,8.815e+01,1.544e+02,4.923e+02
182.4,1.774e+02,8.131e+01,1.639e+02,4.225e+02
183.9,1.494e+02,7.019e+01,1.759e+02,3.955e+02
185.5,1.405e+02,6.815e+01,1.934e+02,4.020e+02
187.0,1.305e+02,7.120e+01,2.039e+02,4.057e+02
188.5,1.291e+02,6.948e+01,1.913e+02,3.900e+02
190.1,1.224e+02,6.720e+01,1.806e+02,3.701e+02
191.6,1.223e+02,6.889e+01,1.684e+02,3.596e+02
193.1,1.345e+02,7.058e+01,1.552e+02,3.603e+02
194.7,1.330e+02,7.387e+01,1.525e+02,3.594e+02
196.2,1.212e+02,7.892e+01,1.329e+02,3.331e+02
197.7,1.185e+02,7.993e+01,1.154e+02,3.139e+02
199.3,9.451e+01,8.026e+01,1.121e+02,2.869e+02
